"HP4396A REV3.01"
"DATE: Jan 11 2003"



"CHANNEL: 1"
"MEASURE TYPE: S21"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 201"
"SWEEP TIME:  1.62 s"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  0 dBm"
"IF BANDWIDTH:  300 Hz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.000000000000E+07	-1.101980E+02	
1.070000000000E+07	-1.134642E+02	
1.140000000000E+07	-1.061372E+02	
1.210000000000E+07	-1.098023E+02	
1.280000000000E+07	-1.038706E+02	
1.350000000000E+07	-1.291482E+02	
1.420000000000E+07	-1.099856E+02	
1.490000000000E+07	-1.224142E+02	
1.560000000000E+07	-1.200144E+02	
1.630000000000E+07	-1.156237E+02	
1.700000000000E+07	-1.184873E+02	
1.770000000000E+07	-1.232935E+02	
1.840000000000E+07	-1.214756E+02	
1.910000000000E+07	-1.238152E+02	
1.980000000000E+07	-1.184085E+02	
2.050000000000E+07	-1.153780E+02	
2.120000000000E+07	-1.191829E+02	
2.190000000000E+07	-1.164810E+02	
2.260000000000E+07	-1.125057E+02	
2.330000000000E+07	-1.127224E+02	
2.400000000000E+07	-1.163438E+02	
2.470000000000E+07	-1.069314E+02	
2.540000000000E+07	-1.005389E+02	
2.610000000000E+07	-9.581693E+01	
2.680000000000E+07	-9.126767E+01	
2.750000000000E+07	-8.535933E+01	
2.820000000000E+07	-8.026894E+01	
2.890000000000E+07	-7.479148E+01	
2.960000000000E+07	-6.947515E+01	
3.030000000000E+07	-6.385921E+01	
3.100000000000E+07	-5.786516E+01	
3.170000000000E+07	-5.170095E+01	
3.240000000000E+07	-4.557151E+01	
3.310000000000E+07	-4.036143E+01	
3.380000000000E+07	-3.665675E+01	
3.450000000000E+07	-3.377887E+01	
3.520000000000E+07	-3.080880E+01	
3.590000000000E+07	-2.737988E+01	
3.660000000000E+07	-2.347249E+01	
3.730000000000E+07	-1.916911E+01	
3.800000000000E+07	-1.496686E+01	
3.870000000000E+07	-1.167273E+01	
3.940000000000E+07	-9.640678E+00	
4.010000000000E+07	-8.178007E+00	
4.080000000000E+07	-6.766019E+00	
4.150000000000E+07	-5.258427E+00	
4.220000000000E+07	-3.931235E+00	
4.290000000000E+07	-2.944054E+00	
4.360000000000E+07	-2.405047E+00	
4.430000000000E+07	-2.345964E+00	
4.500000000000E+07	-2.576517E+00	
4.570000000000E+07	-2.991837E+00	
4.640000000000E+07	-3.448777E+00	
4.710000000000E+07	-3.839137E+00	
4.780000000000E+07	-4.087177E+00	
4.850000000000E+07	-4.190917E+00	
4.920000000000E+07	-4.153051E+00	
4.990000000000E+07	-3.981375E+00	
5.060000000000E+07	-3.726458E+00	
5.130000000000E+07	-3.380448E+00	
5.200000000000E+07	-3.044245E+00	
5.270000000000E+07	-2.714971E+00	
5.340000000000E+07	-2.425662E+00	
5.410000000000E+07	-2.214344E+00	
5.480000000000E+07	-2.049586E+00	
5.550000000000E+07	-1.899856E+00	
5.620000000000E+07	-1.820290E+00	
5.690000000000E+07	-1.802927E+00	
5.760000000000E+07	-1.872185E+00	
5.830000000000E+07	-2.027134E+00	
5.900000000000E+07	-2.303099E+00	
5.970000000000E+07	-2.655139E+00	
6.040000000000E+07	-3.036498E+00	
