"HP4396A REV3.01"
"DATE: Nov 19 2002"



"CHANNEL: 1"
"MEASURE TYPE: S21"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 201"
"SWEEP TIME:  70 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  0 dBm"
"IF BANDWIDTH:  40 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.000000000000E+07	-8.688443E+01	0.000000E+00
1.095000000000E+07	-8.912613E+01	0.000000E+00
1.190000000000E+07	-9.078224E+01	0.000000E+00
1.285000000000E+07	-8.916502E+01	0.000000E+00
1.380000000000E+07	-9.075198E+01	0.000000E+00
1.475000000000E+07	-8.898875E+01	0.000000E+00
1.570000000000E+07	-9.243045E+01	0.000000E+00
1.665000000000E+07	-8.749220E+01	0.000000E+00
1.760000000000E+07	-9.355785E+01	0.000000E+00
1.855000000000E+07	-8.887948E+01	0.000000E+00
1.950000000000E+07	-8.429099E+01	0.000000E+00
2.045000000000E+07	-9.931358E+01	0.000000E+00
2.140000000000E+07	-8.668159E+01	0.000000E+00
2.235000000000E+07	-9.264972E+01	0.000000E+00
2.330000000000E+07	-9.356625E+01	0.000000E+00
2.425000000000E+07	-1.145363E+02	0.000000E+00
2.520000000000E+07	-8.919005E+01	0.000000E+00
2.615000000000E+07	-8.657791E+01	0.000000E+00
2.710000000000E+07	-9.212089E+01	0.000000E+00
2.805000000000E+07	-8.252467E+01	0.000000E+00
2.900000000000E+07	-7.532520E+01	0.000000E+00
2.995000000000E+07	-6.624154E+01	0.000000E+00
3.090000000000E+07	-5.858139E+01	0.000000E+00
3.185000000000E+07	-5.007549E+01	0.000000E+00
3.280000000000E+07	-4.316735E+01	0.000000E+00
3.375000000000E+07	-3.883249E+01	0.000000E+00
3.470000000000E+07	-3.502661E+01	0.000000E+00
3.565000000000E+07	-3.049364E+01	0.000000E+00
3.660000000000E+07	-2.499923E+01	0.000000E+00
3.755000000000E+07	-1.879150E+01	0.000000E+00
3.850000000000E+07	-1.313004E+01	0.000000E+00
3.945000000000E+07	-9.848352E+00	0.000000E+00
4.040000000000E+07	-7.848167E+00	0.000000E+00
4.135000000000E+07	-5.896658E+00	0.000000E+00
4.230000000000E+07	-4.202772E+00	0.000000E+00
4.325000000000E+07	-3.275605E+00	0.000000E+00
4.420000000000E+07	-3.225441E+00	0.000000E+00
4.515000000000E+07	-3.757265E+00	0.000000E+00
4.610000000000E+07	-4.488888E+00	0.000000E+00
4.705000000000E+07	-5.050810E+00	0.000000E+00
4.800000000000E+07	-5.373911E+00	0.000000E+00
4.895000000000E+07	-5.389067E+00	0.000000E+00
4.990000000000E+07	-5.130552E+00	0.000000E+00
5.085000000000E+07	-4.716758E+00	0.000000E+00
5.180000000000E+07	-4.211021E+00	0.000000E+00
5.275000000000E+07	-3.792095E+00	0.000000E+00
5.370000000000E+07	-3.427427E+00	0.000000E+00
5.465000000000E+07	-3.103883E+00	0.000000E+00
5.560000000000E+07	-2.867459E+00	0.000000E+00
5.655000000000E+07	-2.690399E+00	0.000000E+00
5.750000000000E+07	-2.621260E+00	0.000000E+00
5.845000000000E+07	-2.803502E+00	0.000000E+00
