                   tem002   tem060   tem130   tem200   global   reflex   bilanz
12.04.2006 12:40    6.210    5.442    4.690    4.423   93.920   15.158   53.502
12.04.2006 12:50    6.531    5.714    4.865    4.604  102.255   16.884   59.466
12.04.2006 13:00    6.776    5.902    5.002    4.715  117.083   19.624   67.795
12.04.2006 13:10    6.971    6.063    5.163    4.889  136.599   22.715   82.545
12.04.2006 13:20    7.126    6.147    5.244    4.975  104.956   17.448   60.367
12.04.2006 13:30    7.236    6.292    5.370    5.077  147.143   24.518   88.356
12.04.2006 13:40    7.468    6.400    5.482    5.211  182.118   30.923  112.490
12.04.2006 13:50    7.678    6.594    5.610    5.314  197.867   33.315  122.584
12.04.2006 14:00    7.685    6.590    5.659    5.366  168.696   28.147  103.850
12.04.2006 14:10    8.119    6.858    5.846    5.514  315.280   54.525  197.724
12.04.2006 14:20    8.822    7.290    6.160    5.702  597.196  110.961  382.208
12.04.2006 14:30    8.766    7.177    6.163    5.718  421.266   74.987  258.438
12.04.2006 14:40    8.724    7.204    6.200    5.775  353.626   62.641  217.694
12.04.2006 14:50    8.710    7.276    6.222    5.746  317.209   55.714  193.865
12.04.2006 15:00    8.501    7.099    6.233    5.783  180.921   30.757  103.933
12.04.2006 15:10    8.980    7.544    6.636    6.142  527.690  104.932  309.374
12.04.2006 15:20    9.740    8.002    7.028    6.415  480.373   95.756  275.784
12.04.2006 15:30    9.579    8.226    7.120    6.548  564.097  116.605  333.060
12.04.2006 15:40    9.888    8.477    7.439    6.799  435.599   90.387  238.485
12.04.2006 15:50    9.670    8.295    7.279    6.815  230.702   43.225  124.198
12.04.2006 16:00    8.853    7.791    6.926    6.503  139.594   23.168   60.562
12.04.2006 16:10    8.852    7.839    7.007    6.610  130.826   22.151   53.475
12.04.2006 16:20    9.028    8.040    7.189    6.802  195.034   35.809   97.030
12.04.2006 16:30    9.250    8.267    7.368    6.906  242.274   49.542  125.160
12.04.2006 16:40    9.621    8.560    7.671    7.153  239.412   48.577  113.905
12.04.2006 16:50    9.415    8.438    7.499    7.094  174.102   33.683   72.513
12.04.2006 17:00    9.284    8.394    7.505    7.126  148.000   28.433   56.085
12.04.2006 17:10    9.735    8.733    7.876    7.401  253.653   54.195  122.192
12.04.2006 17:20    9.477    8.568    7.778    7.351   95.518   17.006   14.729
12.04.2006 17:30    9.153    8.356    7.619    7.245   65.617   11.114   14.022
12.04.2006 17:40    9.286    8.512    7.603    7.155  107.143   24.477   25.259
12.04.2006 17:50    8.949    8.262    7.225    6.828   95.197   16.162   -4.971
12.04.2006 18:00    8.765    8.167    7.210    6.772  104.503   22.118   17.243
12.04.2006 18:10    8.635    7.786    6.964    6.640   93.616   18.682   18.735
12.04.2006 18:20    8.393    7.585    6.757    6.393   90.383   19.257   25.287
12.04.2006 18:30    8.287    7.526    6.707    6.390   61.223   14.184   16.998
12.04.2006 18:40    8.274    7.577    6.776    6.434   25.833    6.503    2.064
12.04.2006 18:50    7.796    7.250    6.617    6.331   23.466    5.907   -1.563
12.04.2006 19:00    7.384    7.312    6.622    6.268   13.723    3.270  -40.437
12.04.2006 19:10    7.359    7.251    6.632    6.267    2.586    0.987  -44.405
12.04.2006 19:20    7.372    7.162    6.614    6.297   -0.404    0.657  -52.232
12.04.2006 19:30    6.924    7.009    6.575    6.293   -3.551   -0.028  -53.646
12.04.2006 19:40    6.783    6.889    6.516    6.234   -4.327   -0.316  -52.111
12.04.2006 19:50    6.505    6.814    6.428    6.135   -4.176   -0.343  -50.004
12.04.2006 20:00    6.192    6.765    6.310    6.035   -3.828   -0.316  -48.434
12.04.2006 20:10    6.029    6.653    6.228    5.992   -3.465   -0.213  -45.764
12.04.2006 20:20    5.667    6.645    6.252    5.986   -2.632   -0.083  -37.533
12.04.2006 20:30    5.479    6.687    6.232    5.957   -2.450   -0.266  -29.465
12.04.2006 20:40    5.305    6.675    6.237    6.013   -2.517   -0.106  -40.317
12.04.2006 20:50    4.907    6.643    6.239    6.039   -3.135   -0.241  -44.788
12.04.2006 21:00    4.718    6.571    6.257    6.063   -3.129   -0.220  -41.176
12.04.2006 21:10    4.549    6.460    6.271    6.085   -1.862   -0.128  -20.215
12.04.2006 21:20    4.541    6.493    6.209    6.055   -2.092    0.080  -37.486
12.04.2006 21:30    4.542    6.423    6.224    6.062   -2.890    0.098  -44.422
12.04.2006 21:40    4.463    6.448    6.248    6.088   -2.908    0.076  -40.937
12.04.2006 21:50    4.418    6.427    6.233    6.084   -2.449    0.238  -40.406
12.04.2006 22:00    4.353    6.306    6.243    6.119   -2.428    0.202  -41.039
12.04.2006 22:10    4.180    6.448    6.249    6.104   -2.697    0.278  -44.912
12.04.2006 22:20    4.055    6.480    6.260    6.103   -2.280    0.238  -40.573
12.04.2006 22:30    3.949    6.517    6.250    6.048   -1.743    0.163  -28.660
12.04.2006 22:40    3.903    6.503    6.229    6.045   -1.381    0.165  -24.538
12.04.2006 22:50    4.088    6.462    6.235    6.144   -1.018    0.261  -24.794
12.04.2006 23:00    4.160    6.532    6.262    6.236   -1.771    0.280  -42.252
12.04.2006 23:10    4.126    6.432    6.183    6.187   -2.375    0.369  -50.650
12.04.2006 23:20    4.103    6.379    6.087    6.014   -2.684    0.319  -50.882
12.04.2006 23:30    3.990    6.320    6.066    6.170   -2.619    0.353  -50.418
12.04.2006 23:40    3.949    6.244    6.140    6.677   -2.703    0.335  -49.699
12.04.2006 23:50    3.903    6.190    6.094    6.455   -2.822    0.274  -49.310
13.04.2006 00:00    3.929    6.226    6.060    6.457   -2.728    0.362  -48.698
13.04.2006 00:10    3.999    6.201    6.064    6.490   -2.615    0.330  -47.157
13.04.2006 00:20    4.024    6.234    6.048    6.137   -2.073    0.598  -46.634
13.04.2006 00:30    4.254    6.216    6.064    6.124   -2.367    0.531  -47.789
13.04.2006 00:40    4.086    6.106    6.018    6.228   -2.363    0.446  -47.515
13.04.2006 00:50    4.046    6.136    5.990    6.357   -2.349    0.361  -43.383
13.04.2006 01:00    3.991    6.194    6.052    6.421   -2.022    0.316  -37.182
13.04.2006 01:10    4.267    6.194    5.956    6.079   -1.462    0.391  -30.704
13.04.2006 01:20    4.558    6.147    5.885    5.974   -1.542    0.467  -39.584
13.04.2006 01:30    4.867    6.063    5.832    5.825   -1.530    0.506  -35.861
13.04.2006 01:40    4.860    6.084    5.808    5.785   -1.598    0.303  -29.965
13.04.2006 01:50    4.908    6.098    5.827    5.799   -1.098    0.187  -18.770
13.04.2006 02:00    5.211    6.140    5.888    6.109   -0.677    0.329  -20.935
13.04.2006 02:10    5.186    6.172    5.911    6.190   -1.063    0.240  -27.124
13.04.2006 02:20    5.204    6.161    5.923    6.069   -1.385    0.290  -32.147
13.04.2006 02:30    5.015    6.094    5.925    6.091   -1.836    0.161  -35.667
13.04.2006 02:40    5.224    6.159    5.975    6.171   -2.037    0.125  -37.902
13.04.2006 02:50    5.151    6.092    5.874    5.993   -1.774    0.148  -32.570
13.04.2006 03:00    5.137    6.081    5.887    6.001   -1.639    0.043  -26.574
13.04.2006 03:10    5.219    6.127    5.913    6.081   -1.526    0.062  -25.859
13.04.2006 03:20    5.434    6.140    5.847    5.927   -1.233    0.240  -27.326
13.04.2006 03:30    5.703    6.176    5.862    5.909   -1.027    0.292  -26.222
13.04.2006 03:40    5.760    6.134    5.846    5.931   -1.263    0.225  -30.852
13.04.2006 03:50    5.882    6.173    5.820    5.807   -0.807    0.319  -20.041
13.04.2006 04:00    5.813    6.184    5.783    5.686   -0.905    0.248  -27.071
13.04.2006 04:10    5.808    6.154    5.754    5.594   -1.794    0.235  -45.212
13.04.2006 04:20    5.729    6.108    5.743    5.617   -1.929    0.377  -40.510
13.04.2006 04:30    5.594    6.092    5.756    5.608   -1.954    0.313  -33.140
13.04.2006 04:40    5.438    6.145    5.799    5.664   -0.934    0.404  -12.958
13.04.2006 04:50    5.825    6.245    5.831    5.694   -0.440    0.625  -13.405
13.04.2006 05:00    6.261    6.315    5.853    5.693   -0.379    1.027  -16.887
13.04.2006 05:10    6.278    6.310    5.823    5.625   -0.300    1.126  -18.934
13.04.2006 05:20    6.282    6.302    5.803    5.562   -0.760    1.345  -31.913
13.04.2006 05:30    6.300    6.266    5.795    5.571   -0.783    0.977  -26.721
13.04.2006 05:40    6.168    6.209    5.760    5.516    0.635    1.187  -17.723
13.04.2006 05:50    6.247    6.231    5.753    5.539    2.673    1.352  -15.651
13.04.2006 06:00    6.103    6.283    5.827    5.612   10.245    2.966  -19.657
13.04.2006 06:10    6.428    6.407    5.886    5.686   13.997    3.606  -12.004
13.04.2006 06:20    6.462    6.399    5.883    5.704   13.024    3.224  -11.434
13.04.2006 06:30    6.583    6.439    5.916    5.714   23.043    4.989   -8.405
13.04.2006 06:40    6.702    6.518    5.973    5.774   37.868    7.660    4.189
13.04.2006 06:50    6.891    6.590    6.029    5.840   54.305   10.706   12.562
13.04.2006 07:00    7.143    6.629    5.996    5.813   68.035   13.130   20.148
13.04.2006 07:10    7.308    6.715    6.055    5.851   96.073   18.508   42.125
13.04.2006 07:20    7.523    6.828    6.149    5.952   93.931   17.996   43.356
13.04.2006 07:30    7.674    6.964    6.263    5.995  106.612   20.073   49.999
13.04.2006 07:40    7.853    7.089    6.367    6.058  117.611   21.731   59.954
13.04.2006 07:50    7.888    7.139    6.409    6.067   65.950   11.995   28.580
13.04.2006 08:00    7.825    7.160    6.464    6.125   52.793    9.391   22.011
13.04.2006 08:10    7.795    7.200    6.526    6.146   51.388    9.033   20.762
13.04.2006 08:20    7.931    7.271    6.583    6.197   85.540   15.098   44.006
13.04.2006 08:30    8.083    7.313    6.606    6.258  115.754   20.832   62.725
13.04.2006 08:40    8.287    7.348    6.602    6.294  122.551   21.913   67.483
13.04.2006 08:50    8.144    7.292    6.559    6.286   86.330   14.942   43.412
13.04.2006 09:00    8.027    7.253    6.531    6.214   54.606    8.825   24.252
13.04.2006 09:10    7.938    7.236    6.536    6.226   43.215    6.723   16.822
13.04.2006 09:20    7.952    7.274    6.610    6.326   50.998    8.060   21.962
13.04.2006 09:30    8.066    7.350    6.653    6.388   65.630   10.654   31.018
13.04.2006 09:40    8.121    7.428    6.756    6.470   65.578   10.793   30.909
13.04.2006 09:50    8.276    7.497    6.779    6.456   91.392   15.403   48.792
13.04.2006 10:00    8.302    7.519    6.740    6.491  111.574   19.206   61.215
13.04.2006 10:10    8.565    7.767    6.985    6.668  156.769   27.652   90.486
13.04.2006 10:20    8.909    8.024    7.233    6.851  163.224   28.751   95.269
13.04.2006 10:30    9.004    8.140    7.361    6.982  103.399   17.790   56.163
13.04.2006 10:40    9.036    8.215    7.481    7.085  125.936   21.694   69.051
13.04.2006 10:50    9.356    8.372    7.604    7.200  171.137   30.218  100.065
13.04.2006 11:00    9.400    8.458    7.627    7.230  150.302   26.185   88.067
13.04.2006 11:10    9.446    8.518    7.726    7.354  148.125   25.430   85.812
13.04.2006 11:20    9.548    8.658    7.838    7.492  178.777   31.152  106.275
13.04.2006 11:30    9.907    8.908    8.075    7.643  223.139   39.374  138.144
13.04.2006 11:40   10.287    9.160    8.259    7.751  323.097   57.340  202.906
13.04.2006 11:50   10.429    9.216    8.372    7.846  278.544   49.072  175.367
13.04.2006 12:00   10.428    9.164    8.351    7.850  221.724   38.569  135.775
13.04.2006 12:10   10.330    9.205    8.373    7.902  210.195   36.738  129.564
13.04.2006 12:20   10.322    9.226    8.400    7.987  206.608   36.514  126.129
13.04.2006 12:30   10.413    9.373    8.520    8.101  183.313   32.515  110.607
13.04.2006 12:40   10.459    9.369    8.604    8.149  181.820   32.143  109.679
13.04.2006 12:50   10.387    9.427    8.642    8.210  178.564   31.756  107.962
13.04.2006 13:00   10.427    9.464    8.678    8.237  149.178   26.079   88.983
13.04.2006 13:10   10.367    9.489    8.705    8.283  107.655   18.282   61.270
13.04.2006 13:20   10.180    9.470    8.663    8.305   94.901   15.558   52.582
13.04.2006 13:30   10.355    9.602    8.877    8.419   90.839   15.202   51.360
13.04.2006 13:40   10.297    9.461    8.808    8.284   98.391   16.462   55.706
13.04.2006 13:50   10.196    9.375    8.662    8.185   86.416   14.425   49.005
13.04.2006 14:00   10.068    9.282    8.581    8.104   87.687   14.198   49.693
13.04.2006 14:10   10.119    9.327    8.623    8.142   93.940   15.091   54.385
13.04.2006 14:20   10.059    9.229    8.494    8.042   81.177   13.122   45.699
13.04.2006 14:30    9.984    9.208    8.485    8.076   73.411   11.743   39.945
13.04.2006 14:40   10.015    9.248    8.528    8.120   60.989    9.619   31.723
13.04.2006 14:50    9.968    9.203    8.471    8.024   53.873    8.266   27.593
13.04.2006 15:00    9.850    9.137    8.414    7.991   46.952    7.059   23.179
13.04.2006 15:10    9.869    9.111    8.396    7.945   60.241    9.526   31.740
13.04.2006 15:20    9.815    9.024    8.348    7.896   73.103   11.904   40.495
13.04.2006 15:30    9.928    9.151    8.430    8.013   79.422   13.146   44.094
13.04.2006 15:40   10.057    9.276    8.545    8.091   73.062   12.131   39.928
13.04.2006 15:50   10.003    9.197    8.481    8.047   57.878    9.541   29.972
13.04.2006 16:00    9.894    9.166    8.427    8.034   44.601    7.129   21.957
13.04.2006 16:10    9.831    9.092    8.365    7.985   40.045    6.304   19.062
13.04.2006 16:20    9.812    9.079    8.351    7.960   43.544    7.009   21.357
13.04.2006 16:30    9.805    9.081    8.356    7.967   42.139    6.923   21.040
13.04.2006 16:40    9.812    9.119    8.411    8.024   40.860    6.876   19.839
13.04.2006 16:50    9.873    9.145    8.414    8.023   44.512    7.724   22.401
13.04.2006 17:00    9.914    9.181    8.484    8.099   43.251    7.372   21.592
13.04.2006 17:10   10.021    9.298    8.579    8.152   45.957    7.922   23.118
13.04.2006 17:20    9.906    9.129    8.404    8.041   44.663    7.773   22.474
13.04.2006 17:30    9.921    9.214    8.504    8.132   20.275    3.232    7.308
13.04.2006 17:40    9.920    9.238    8.541    8.171   13.421    1.983    3.062
13.04.2006 17:50    9.733    8.892    8.147    7.847    8.601    1.226   -0.142
