"HP4396A REV3.01"
"DATE: Nov 19 2002"



"CHANNEL: 1"
"MEASURE TYPE: S21"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 201"
"SWEEP TIME:  70 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER: -20 dBm"
"IF BANDWIDTH:  40 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.000000000000E+07	2.341166E+01	
1.095000000000E+07	2.348967E+01	
1.190000000000E+07	2.341775E+01	
1.285000000000E+07	2.342984E+01	
1.380000000000E+07	2.330750E+01	
1.475000000000E+07	2.344666E+01	
1.570000000000E+07	2.329780E+01	
1.665000000000E+07	2.327857E+01	
1.760000000000E+07	2.341398E+01	
1.855000000000E+07	2.334573E+01	
1.950000000000E+07	2.329231E+01	
2.045000000000E+07	2.321160E+01	
2.140000000000E+07	2.323809E+01	
2.235000000000E+07	2.328283E+01	
2.330000000000E+07	2.323662E+01	
2.425000000000E+07	2.321131E+01	
2.520000000000E+07	2.310596E+01	
2.615000000000E+07	2.314262E+01	
2.710000000000E+07	2.314726E+01	
2.805000000000E+07	2.307302E+01	
2.900000000000E+07	2.314173E+01	
2.995000000000E+07	2.307697E+01	
3.090000000000E+07	2.310382E+01	
3.185000000000E+07	2.301023E+01	
3.280000000000E+07	2.304081E+01	
3.375000000000E+07	2.310096E+01	
3.470000000000E+07	2.292572E+01	
3.565000000000E+07	2.295817E+01	
3.660000000000E+07	2.318786E+01	
3.755000000000E+07	2.294322E+01	
3.850000000000E+07	2.290009E+01	
3.945000000000E+07	2.286858E+01	
4.040000000000E+07	2.294556E+01	
4.135000000000E+07	2.296495E+01	
4.230000000000E+07	2.284194E+01	
4.325000000000E+07	2.287297E+01	
4.420000000000E+07	2.286061E+01	
4.515000000000E+07	2.290040E+01	
4.610000000000E+07	2.283462E+01	
4.705000000000E+07	2.283139E+01	
4.800000000000E+07	2.277937E+01	
4.895000000000E+07	2.282690E+01	
4.990000000000E+07	2.276413E+01	
5.085000000000E+07	2.271680E+01	
5.180000000000E+07	2.283483E+01	
5.275000000000E+07	2.267049E+01	
5.370000000000E+07	2.283467E+01	
5.465000000000E+07	2.261289E+01	
5.560000000000E+07	2.257122E+01	
5.655000000000E+07	2.268162E+01	
5.750000000000E+07	2.267127E+01	
5.845000000000E+07	2.258896E+01	
5.940000000000E+07	2.268394E+01	
6.035000000000E+07	2.253348E+01	
6.130000000000E+07	2.265284E+01	
6.225000000000E+07	2.251331E+01	
6.320000000000E+07	2.259769E+01	
6.415000000000E+07	2.240826E+01	
6.510000000000E+07	2.248775E+01	
6.605000000000E+07	2.239956E+01	
6.700000000000E+07	2.238633E+01	
6.795000000000E+07	2.228901E+01	
6.890000000000E+07	2.239692E+01	
6.985000000000E+07	2.237866E+01	
7.080000000000E+07	2.236528E+01	
7.175000000000E+07	2.227115E+01	
7.270000000000E+07	2.231715E+01	
7.365000000000E+07	2.239086E+01	
7.460000000000E+07	2.219906E+01	
7.555000000000E+07	2.230221E+01	
7.650000000000E+07	2.224404E+01	
7.745000000000E+07	2.218593E+01	
7.840000000000E+07	2.218680E+01	
7.935000000000E+07	2.224301E+01	
8.030000000000E+07	2.211337E+01	
8.125000000000E+07	2.213832E+01	
8.220000000000E+07	2.227673E+01	
8.315000000000E+07	2.225391E+01	
8.410000000000E+07	2.229652E+01	
8.505000000000E+07	2.216921E+01	
8.600000000000E+07	2.219091E+01	
8.695000000000E+07	2.229794E+01	
8.790000000000E+07	2.223825E+01	
8.885000000000E+07	2.226467E+01	
8.980000000000E+07	2.233039E+01	
9.075000000000E+07	2.233838E+01	
9.170000000000E+07	2.237284E+01	
9.265000000000E+07	2.229760E+01	
9.360000000000E+07	2.222712E+01	
9.455000000000E+07	2.220574E+01	
9.550000000000E+07	2.226114E+01	
9.645000000000E+07	2.222745E+01	
9.740000000000E+07	2.227311E+01	
9.835000000000E+07	2.216625E+01	
9.930000000000E+07	2.227164E+01	
1.002500000000E+08	2.225235E+01	
1.012000000000E+08	2.234870E+01	
1.021500000000E+08	2.235465E+01	
1.031000000000E+08	2.221505E+01	
1.040500000000E+08	2.226958E+01	
1.050000000000E+08	2.237850E+01	
1.059500000000E+08	2.223351E+01	
1.069000000000E+08	2.213142E+01	
1.078500000000E+08	2.224709E+01	
1.088000000000E+08	2.232634E+01	
1.097500000000E+08	2.229567E+01	
1.107000000000E+08	2.222657E+01	
1.116500000000E+08	2.222195E+01	
1.126000000000E+08	2.224395E+01	
1.135500000000E+08	2.215450E+01	
1.145000000000E+08	2.221266E+01	
1.154500000000E+08	2.232188E+01	
1.164000000000E+08	2.222640E+01	
1.173500000000E+08	2.211003E+01	
1.183000000000E+08	2.214382E+01	
1.192500000000E+08	2.224581E+01	
1.202000000000E+08	2.204618E+01	
1.211500000000E+08	2.218357E+01	
1.221000000000E+08	2.222356E+01	
1.230500000000E+08	2.210146E+01	
1.240000000000E+08	2.219342E+01	
1.249500000000E+08	2.213929E+01	
1.259000000000E+08	2.213956E+01	
1.268500000000E+08	2.220900E+01	
1.278000000000E+08	2.211916E+01	
1.287500000000E+08	2.221470E+01	
1.297000000000E+08	2.193395E+01	
1.306500000000E+08	2.200786E+01	
1.316000000000E+08	2.188097E+01	
1.325500000000E+08	2.203272E+01	
1.335000000000E+08	2.210937E+01	
1.344500000000E+08	2.193163E+01	
1.354000000000E+08	2.184802E+01	
1.363500000000E+08	2.181668E+01	
1.373000000000E+08	2.179771E+01	
1.382500000000E+08	2.187537E+01	
1.392000000000E+08	2.183467E+01	
1.401500000000E+08	2.194342E+01	
1.411000000000E+08	2.189068E+01	
1.420500000000E+08	2.181190E+01	
1.430000000000E+08	2.178375E+01	
1.439500000000E+08	2.173908E+01	
1.449000000000E+08	2.184800E+01	
1.458500000000E+08	2.178827E+01	
1.468000000000E+08	2.172425E+01	
1.477500000000E+08	2.170509E+01	
1.487000000000E+08	2.156606E+01	
1.496500000000E+08	2.159130E+01	
1.506000000000E+08	2.163151E+01	
1.515500000000E+08	2.159666E+01	
1.525000000000E+08	2.167098E+01	
1.534500000000E+08	2.154595E+01	
1.544000000000E+08	2.166767E+01	
1.553500000000E+08	2.160851E+01	
1.563000000000E+08	2.157962E+01	
1.572500000000E+08	2.138976E+01	
1.582000000000E+08	2.158497E+01	
1.591500000000E+08	2.168777E+01	
1.601000000000E+08	2.168572E+01	
1.610500000000E+08	2.167478E+01	
1.620000000000E+08	2.167435E+01	
1.629500000000E+08	2.168954E+01	
1.639000000000E+08	2.164685E+01	
1.648500000000E+08	2.165883E+01	
1.658000000000E+08	2.156545E+01	
1.667500000000E+08	2.163890E+01	
1.677000000000E+08	2.148681E+01	
1.686500000000E+08	2.158141E+01	
1.696000000000E+08	2.160661E+01	
1.705500000000E+08	2.157182E+01	
1.715000000000E+08	2.151892E+01	
1.724500000000E+08	2.167085E+01	
1.734000000000E+08	2.162068E+01	
1.743500000000E+08	2.160504E+01	
1.753000000000E+08	2.159915E+01	
1.762500000000E+08	2.171515E+01	
1.772000000000E+08	2.153289E+01	
1.781500000000E+08	2.142463E+01	
1.791000000000E+08	2.166164E+01	
1.800500000000E+08	2.168423E+01	
1.810000000000E+08	2.151550E+01	
1.819500000000E+08	2.153757E+01	
1.829000000000E+08	2.157846E+01	
1.838500000000E+08	2.172277E+01	
1.848000000000E+08	2.160205E+01	
1.857500000000E+08	2.165570E+01	
1.867000000000E+08	2.168751E+01	
