"HP4396A REV3.01"
"DATE: Nov 19 2002"



"CHANNEL: 1"
"MEASURE TYPE: S21"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 201"
"SWEEP TIME:  70 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  0 dBm"
"IF BANDWIDTH:  40 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.000000000000E+07	-9.166137E+01	0.000000E+00
1.095000000000E+07	-8.784763E+01	0.000000E+00
1.190000000000E+07	-8.797911E+01	0.000000E+00
1.285000000000E+07	-9.512991E+01	0.000000E+00
1.380000000000E+07	-9.579565E+01	0.000000E+00
1.475000000000E+07	-9.027779E+01	0.000000E+00
1.570000000000E+07	-9.478813E+01	0.000000E+00
1.665000000000E+07	-8.864406E+01	0.000000E+00
1.760000000000E+07	-8.700213E+01	0.000000E+00
1.855000000000E+07	-9.369656E+01	0.000000E+00
1.950000000000E+07	-8.514038E+01	0.000000E+00
2.045000000000E+07	-9.601144E+01	0.000000E+00
2.140000000000E+07	-9.349133E+01	0.000000E+00
2.235000000000E+07	-1.019366E+02	0.000000E+00
2.330000000000E+07	-9.664829E+01	0.000000E+00
2.425000000000E+07	-8.554153E+01	0.000000E+00
2.520000000000E+07	-9.585968E+01	0.000000E+00
2.615000000000E+07	-9.344310E+01	0.000000E+00
2.710000000000E+07	-8.119668E+01	0.000000E+00
2.805000000000E+07	-8.129684E+01	0.000000E+00
2.900000000000E+07	-7.623260E+01	0.000000E+00
2.995000000000E+07	-6.610368E+01	0.000000E+00
3.090000000000E+07	-5.780116E+01	0.000000E+00
3.185000000000E+07	-4.949578E+01	0.000000E+00
3.280000000000E+07	-4.169740E+01	0.000000E+00
3.375000000000E+07	-3.656244E+01	0.000000E+00
3.470000000000E+07	-3.269346E+01	0.000000E+00
3.565000000000E+07	-2.826331E+01	0.000000E+00
3.660000000000E+07	-2.295072E+01	0.000000E+00
3.755000000000E+07	-1.700975E+01	0.000000E+00
3.850000000000E+07	-1.186149E+01	0.000000E+00
3.945000000000E+07	-8.807109E+00	0.000000E+00
4.040000000000E+07	-6.770207E+00	0.000000E+00
4.135000000000E+07	-4.807689E+00	0.000000E+00
4.230000000000E+07	-3.172346E+00	0.000000E+00
4.325000000000E+07	-2.296069E+00	0.000000E+00
4.420000000000E+07	-2.240385E+00	0.000000E+00
4.515000000000E+07	-2.709638E+00	0.000000E+00
4.610000000000E+07	-3.373520E+00	0.000000E+00
4.705000000000E+07	-3.877318E+00	0.000000E+00
4.800000000000E+07	-4.198387E+00	0.000000E+00
4.895000000000E+07	-4.202068E+00	0.000000E+00
4.990000000000E+07	-3.987332E+00	0.000000E+00
5.085000000000E+07	-3.604265E+00	0.000000E+00
5.180000000000E+07	-3.132043E+00	0.000000E+00
5.275000000000E+07	-2.725081E+00	0.000000E+00
5.370000000000E+07	-2.375770E+00	0.000000E+00
5.465000000000E+07	-2.093653E+00	0.000000E+00
5.560000000000E+07	-1.841191E+00	0.000000E+00
5.655000000000E+07	-1.706662E+00	0.000000E+00
5.750000000000E+07	-1.653366E+00	0.000000E+00
5.845000000000E+07	-1.834729E+00	0.000000E+00
5.940000000000E+07	-2.137177E+00	0.000000E+00
6.035000000000E+07	-2.590340E+00	0.000000E+00
6.130000000000E+07	-3.042794E+00	0.000000E+00
6.225000000000E+07	-3.422890E+00	0.000000E+00
6.320000000000E+07	-3.641822E+00	0.000000E+00
6.415000000000E+07	-3.644111E+00	0.000000E+00
6.510000000000E+07	-3.450733E+00	0.000000E+00
6.605000000000E+07	-3.104762E+00	0.000000E+00
6.700000000000E+07	-2.614870E+00	0.000000E+00
6.795000000000E+07	-2.133550E+00	0.000000E+00
6.890000000000E+07	-1.756018E+00	0.000000E+00
6.985000000000E+07	-1.566047E+00	0.000000E+00
7.080000000000E+07	-1.646192E+00	0.000000E+00
7.175000000000E+07	-2.065141E+00	0.000000E+00
7.270000000000E+07	-2.655352E+00	0.000000E+00
7.365000000000E+07	-3.435340E+00	0.000000E+00
7.460000000000E+07	-4.247853E+00	0.000000E+00
7.555000000000E+07	-5.018756E+00	0.000000E+00
7.650000000000E+07	-5.575874E+00	0.000000E+00
7.745000000000E+07	-5.822486E+00	0.000000E+00
7.840000000000E+07	-6.134629E+00	0.000000E+00
7.935000000000E+07	-7.211398E+00	0.000000E+00
8.030000000000E+07	-1.000896E+01	0.000000E+00
8.125000000000E+07	-1.497133E+01	0.000000E+00
8.220000000000E+07	-2.140337E+01	0.000000E+00
8.315000000000E+07	-2.826189E+01	0.000000E+00
8.410000000000E+07	-3.504600E+01	0.000000E+00
8.505000000000E+07	-4.159937E+01	0.000000E+00
8.600000000000E+07	-4.792997E+01	0.000000E+00
8.695000000000E+07	-5.416834E+01	0.000000E+00
8.790000000000E+07	-6.061774E+01	0.000000E+00
8.885000000000E+07	-6.729380E+01	0.000000E+00
8.980000000000E+07	-7.245150E+01	0.000000E+00
9.075000000000E+07	-8.250410E+01	0.000000E+00
9.170000000000E+07	-9.055789E+01	0.000000E+00
9.265000000000E+07	-9.605693E+01	0.000000E+00
9.360000000000E+07	-9.233916E+01	0.000000E+00
9.455000000000E+07	-8.964453E+01	0.000000E+00
9.550000000000E+07	-9.259826E+01	0.000000E+00
9.645000000000E+07	-9.193114E+01	0.000000E+00
9.740000000000E+07	-8.892258E+01	0.000000E+00
9.835000000000E+07	-8.461971E+01	0.000000E+00
9.930000000000E+07	-8.560291E+01	0.000000E+00
1.002500000000E+08	-8.187370E+01	0.000000E+00
1.012000000000E+08	-9.012394E+01	0.000000E+00
1.021500000000E+08	-8.407538E+01	0.000000E+00
1.031000000000E+08	-8.293608E+01	0.000000E+00
1.040500000000E+08	-8.479579E+01	0.000000E+00
1.050000000000E+08	-8.643505E+01	0.000000E+00
1.059500000000E+08	-8.488457E+01	0.000000E+00
1.069000000000E+08	-1.023548E+02	0.000000E+00
1.078500000000E+08	-8.572154E+01	0.000000E+00
1.088000000000E+08	-8.511533E+01	0.000000E+00
1.097500000000E+08	-8.761269E+01	0.000000E+00
1.107000000000E+08	-8.314101E+01	0.000000E+00
1.116500000000E+08	-8.908273E+01	0.000000E+00
1.126000000000E+08	-8.849692E+01	0.000000E+00
1.135500000000E+08	-9.448731E+01	0.000000E+00
1.145000000000E+08	-8.707594E+01	0.000000E+00
1.154500000000E+08	-8.603698E+01	0.000000E+00
1.164000000000E+08	-8.693206E+01	0.000000E+00
1.173500000000E+08	-9.043624E+01	0.000000E+00
1.183000000000E+08	-9.162953E+01	0.000000E+00
1.192500000000E+08	-8.436351E+01	0.000000E+00
1.202000000000E+08	-8.813124E+01	0.000000E+00
1.211500000000E+08	-8.936930E+01	0.000000E+00
1.221000000000E+08	-9.678613E+01	0.000000E+00
1.230500000000E+08	-8.282863E+01	0.000000E+00
1.240000000000E+08	-8.892898E+01	0.000000E+00
1.249500000000E+08	-8.621632E+01	0.000000E+00
1.259000000000E+08	-8.971575E+01	0.000000E+00
1.268500000000E+08	-8.846435E+01	0.000000E+00
1.278000000000E+08	-8.918730E+01	0.000000E+00
1.287500000000E+08	-9.017394E+01	0.000000E+00
1.297000000000E+08	-8.604267E+01	0.000000E+00
1.306500000000E+08	-8.541161E+01	0.000000E+00
1.316000000000E+08	-8.689900E+01	0.000000E+00
1.325500000000E+08	-9.008041E+01	0.000000E+00
1.335000000000E+08	-8.417346E+01	0.000000E+00
1.344500000000E+08	-8.305573E+01	0.000000E+00
1.354000000000E+08	-8.980610E+01	0.000000E+00
1.363500000000E+08	-9.715697E+01	0.000000E+00
1.373000000000E+08	-8.964718E+01	0.000000E+00
1.382500000000E+08	-1.054953E+02	0.000000E+00
1.392000000000E+08	-8.742880E+01	0.000000E+00
1.401500000000E+08	-9.667049E+01	0.000000E+00
1.411000000000E+08	-9.159111E+01	0.000000E+00
1.420500000000E+08	-8.442975E+01	0.000000E+00
1.430000000000E+08	-9.358660E+01	0.000000E+00
1.439500000000E+08	-9.235165E+01	0.000000E+00
1.449000000000E+08	-9.158787E+01	0.000000E+00
1.458500000000E+08	-9.601936E+01	0.000000E+00
1.468000000000E+08	-8.546613E+01	0.000000E+00
1.477500000000E+08	-9.962418E+01	0.000000E+00
1.487000000000E+08	-9.085042E+01	0.000000E+00
1.496500000000E+08	-9.771664E+01	0.000000E+00
1.506000000000E+08	-9.285538E+01	0.000000E+00
1.515500000000E+08	-9.193097E+01	0.000000E+00
