"HP4396A REV3.01"
"DATE: Nov 19 2002"



"CHANNEL: 1"
"MEASURE TYPE: S21"
"FORMAT TYPE: EXPANDED PHASE"
"NUMBER of POINTS: 201"
"SWEEP TIME:  70 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  0 dBm"
"IF BANDWIDTH:  40 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
3.000000000000E+07	4.363771E+01	0.000000E+00
3.030000000000E+07	3.772394E+01	0.000000E+00
3.060000000000E+07	2.710684E+01	0.000000E+00
3.090000000000E+07	2.167746E+01	0.000000E+00
3.120000000000E+07	1.430766E+01	0.000000E+00
3.150000000000E+07	4.055837E+00	0.000000E+00
3.180000000000E+07	-5.382891E+00	0.000000E+00
3.210000000000E+07	-1.721341E+01	0.000000E+00
3.240000000000E+07	-3.063214E+01	0.000000E+00
3.270000000000E+07	-4.527782E+01	0.000000E+00
3.300000000000E+07	-6.118172E+01	0.000000E+00
3.330000000000E+07	-7.774709E+01	0.000000E+00
3.360000000000E+07	-9.366694E+01	0.000000E+00
3.390000000000E+07	-1.084980E+02	0.000000E+00
3.420000000000E+07	-1.221626E+02	0.000000E+00
3.450000000000E+07	-1.345478E+02	0.000000E+00
3.480000000000E+07	-1.461009E+02	0.000000E+00
3.510000000000E+07	-1.567413E+02	0.000000E+00
3.540000000000E+07	-1.671279E+02	0.000000E+00
3.570000000000E+07	-1.777332E+02	0.000000E+00
3.600000000000E+07	-1.882383E+02	0.000000E+00
3.630000000000E+07	-1.993506E+02	0.000000E+00
3.660000000000E+07	-2.109161E+02	0.000000E+00
3.690000000000E+07	-2.236761E+02	0.000000E+00
3.720000000000E+07	-2.373585E+02	0.000000E+00
3.750000000000E+07	-2.524835E+02	0.000000E+00
3.780000000000E+07	-2.686995E+02	0.000000E+00
3.810000000000E+07	-2.861646E+02	0.000000E+00
3.840000000000E+07	-3.042101E+02	0.000000E+00
3.870000000000E+07	-3.218085E+02	0.000000E+00
3.900000000000E+07	-3.387911E+02	0.000000E+00
3.930000000000E+07	-3.548593E+02	0.000000E+00
3.960000000000E+07	-3.699124E+02	0.000000E+00
3.990000000000E+07	-3.842776E+02	0.000000E+00
