                   tem002   tem060   tem130   tem200   global   reflex   bilanz
22.04.2006 13:30   16.945   15.949   15.217   15.115  407.594   75.109  251.640
22.04.2006 13:40   17.231   16.158   15.367   15.536  447.675   83.730  275.001
22.04.2006 13:50   17.884   16.617   15.809   15.654  646.700  122.593  397.795
22.04.2006 14:00   18.351   16.960   16.269   15.829  705.265  135.810  435.283
22.04.2006 14:10   18.906   17.366   16.594   16.164  707.261  139.688  427.514
22.04.2006 14:20   19.114   17.583   16.753   16.311  703.910  141.549  420.150
22.04.2006 14:30   19.256   17.901   16.863   16.406  682.168  138.505  404.591
22.04.2006 14:40   19.096   17.943   17.086   16.553  475.305   93.443  265.294
22.04.2006 14:50   18.788   17.878   17.124   16.727  209.230   35.306  103.143
22.04.2006 15:00   18.824   17.757   16.987   16.335  180.370   33.198   97.218
22.04.2006 15:10   18.707   17.682   16.909   16.593  304.658   59.162  170.035
22.04.2006 15:20   19.068   18.086   17.195   16.792  552.527  124.080  323.613
22.04.2006 15:30   19.548   18.493   17.495   16.998  367.807   78.453  195.904
22.04.2006 15:40   19.333   18.229   17.360   16.898  290.019   57.221  133.497
22.04.2006 15:50   19.518   18.228   17.554   17.064  364.745   77.336  190.353
22.04.2006 16:00   19.651   18.505   17.633   17.134  361.124   79.164  181.464
22.04.2006 16:10   19.597   18.293   17.647   17.207  426.648   99.499  220.609
22.04.2006 16:20   19.704   18.420   17.717   17.164  389.291   91.683  200.860
22.04.2006 16:30   19.320   18.337   17.514   17.136  157.403   26.543   57.234
22.04.2006 16:40   18.898   18.060   17.351   16.995  108.142   18.043   47.354
22.04.2006 16:50   18.751   18.044   17.301   16.923  153.965   31.089   73.745
22.04.2006 17:00   19.373   18.139   17.360   16.877  310.215   77.505  160.693
22.04.2006 17:10   19.339   18.167   17.405   16.939  255.163   58.782  119.974
22.04.2006 17:20   19.235   18.140   17.383   16.882  200.906   38.999   93.261
22.04.2006 17:30   18.732   17.941   17.167   16.708  100.775   19.109   11.219
22.04.2006 17:40   18.362   17.671   16.964   16.525  120.411   25.545   29.488
22.04.2006 17:50   18.425   17.655   16.909   16.489  115.358   24.591   44.564
22.04.2006 18:00   18.250   17.547   16.786   16.384   54.816    9.739    7.972
22.04.2006 18:10   17.834   17.242   16.516   16.155   67.463   12.541    8.139
22.04.2006 18:20   17.557   17.054   16.347   16.045   45.493    8.405    4.400
22.04.2006 18:30   17.458   17.029   16.358   16.067   36.743    7.106    6.867
22.04.2006 18:40   17.133   16.970   16.273   15.989   18.994    2.796   -3.140
