"HP4396A REV3.01"
"DATE: Nov 19 2002"



"CHANNEL: 1"
"MEASURE TYPE: S21"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 201"
"SWEEP TIME:  70 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  0 dBm"
"IF BANDWIDTH:  40 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.000000000000E+07	-8.848667E+01	0.000000E+00
1.095000000000E+07	-9.744612E+01	0.000000E+00
1.190000000000E+07	-1.106510E+02	0.000000E+00
1.285000000000E+07	-9.746729E+01	0.000000E+00
1.380000000000E+07	-9.296563E+01	0.000000E+00
1.475000000000E+07	-8.733650E+01	0.000000E+00
1.570000000000E+07	-9.797202E+01	0.000000E+00
1.665000000000E+07	-9.292504E+01	0.000000E+00
1.760000000000E+07	-9.543717E+01	0.000000E+00
1.855000000000E+07	-8.518469E+01	0.000000E+00
1.950000000000E+07	-8.920116E+01	0.000000E+00
2.045000000000E+07	-8.573215E+01	0.000000E+00
2.140000000000E+07	-9.409576E+01	0.000000E+00
2.235000000000E+07	-8.990868E+01	0.000000E+00
2.330000000000E+07	-8.940803E+01	0.000000E+00
2.425000000000E+07	-8.912162E+01	0.000000E+00
2.520000000000E+07	-8.439738E+01	0.000000E+00
2.615000000000E+07	-1.029452E+02	0.000000E+00
2.710000000000E+07	-9.738017E+01	0.000000E+00
2.805000000000E+07	-8.722289E+01	0.000000E+00
2.900000000000E+07	-8.066802E+01	0.000000E+00
2.995000000000E+07	-6.985835E+01	0.000000E+00
3.090000000000E+07	-6.116253E+01	0.000000E+00
3.185000000000E+07	-5.274063E+01	0.000000E+00
3.280000000000E+07	-4.465999E+01	0.000000E+00
3.375000000000E+07	-3.903593E+01	0.000000E+00
3.470000000000E+07	-3.519689E+01	0.000000E+00
3.565000000000E+07	-3.114716E+01	0.000000E+00
3.660000000000E+07	-2.622211E+01	0.000000E+00
3.755000000000E+07	-2.050307E+01	0.000000E+00
3.850000000000E+07	-1.473866E+01	0.000000E+00
