"HP4396A REV3.01"
"DATE: Nov 19 2002"



"CHANNEL: 1"
"MEASURE TYPE: S21"
"FORMAT TYPE: LOG MAG"
"NUMBER of POINTS: 201"
"SWEEP TIME:  70 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  0 dBm"
"IF BANDWIDTH:  40 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.000000000000E+07	-1.147571E+02	0.000000E+00
1.095000000000E+07	-1.085134E+02	0.000000E+00
1.190000000000E+07	-1.080337E+02	0.000000E+00
1.285000000000E+07	-1.085620E+02	0.000000E+00
1.380000000000E+07	-1.023205E+02	0.000000E+00
1.475000000000E+07	-1.081498E+02	0.000000E+00
1.570000000000E+07	-9.888118E+01	0.000000E+00
1.665000000000E+07	-1.070541E+02	0.000000E+00
1.760000000000E+07	-1.106128E+02	0.000000E+00
1.855000000000E+07	-1.048263E+02	0.000000E+00
1.950000000000E+07	-1.100015E+02	0.000000E+00
2.045000000000E+07	-1.038260E+02	0.000000E+00
2.140000000000E+07	-1.050368E+02	0.000000E+00
2.235000000000E+07	-1.062017E+02	0.000000E+00
2.330000000000E+07	-1.045691E+02	0.000000E+00
2.425000000000E+07	-1.046524E+02	0.000000E+00
2.520000000000E+07	-1.103249E+02	0.000000E+00
2.615000000000E+07	-1.106453E+02	0.000000E+00
2.710000000000E+07	-1.107849E+02	0.000000E+00
2.805000000000E+07	-1.031409E+02	0.000000E+00
2.900000000000E+07	-1.070758E+02	0.000000E+00
2.995000000000E+07	-1.026017E+02	0.000000E+00
3.090000000000E+07	-1.012514E+02	0.000000E+00
3.185000000000E+07	-1.078521E+02	0.000000E+00
3.280000000000E+07	-9.621941E+01	0.000000E+00
3.375000000000E+07	-9.544212E+01	0.000000E+00
3.470000000000E+07	-9.635870E+01	0.000000E+00
3.565000000000E+07	-9.266304E+01	0.000000E+00
3.660000000000E+07	-8.635606E+01	0.000000E+00
3.755000000000E+07	-8.233733E+01	0.000000E+00
3.850000000000E+07	-7.877091E+01	0.000000E+00
3.945000000000E+07	-7.710034E+01	0.000000E+00
4.040000000000E+07	-7.599445E+01	0.000000E+00
4.135000000000E+07	-7.609856E+01	0.000000E+00
4.230000000000E+07	-6.889995E+01	0.000000E+00
4.325000000000E+07	-6.868594E+01	0.000000E+00
4.420000000000E+07	-6.956328E+01	0.000000E+00
4.515000000000E+07	-7.262329E+01	0.000000E+00
4.610000000000E+07	-7.587411E+01	0.000000E+00
4.705000000000E+07	-7.669883E+01	0.000000E+00
4.800000000000E+07	-7.715147E+01	0.000000E+00
4.895000000000E+07	-7.746438E+01	0.000000E+00
4.990000000000E+07	-7.606080E+01	0.000000E+00
5.085000000000E+07	-7.592356E+01	0.000000E+00
5.180000000000E+07	-7.492210E+01	0.000000E+00
5.275000000000E+07	-7.217241E+01	0.000000E+00
5.370000000000E+07	-7.159599E+01	0.000000E+00
5.465000000000E+07	-7.462327E+01	0.000000E+00
5.560000000000E+07	-7.356399E+01	0.000000E+00
5.655000000000E+07	-7.313746E+01	0.000000E+00
5.750000000000E+07	-7.398343E+01	0.000000E+00
5.845000000000E+07	-7.568996E+01	0.000000E+00
5.940000000000E+07	-7.551813E+01	0.000000E+00
6.035000000000E+07	-7.689708E+01	0.000000E+00
6.130000000000E+07	-8.021048E+01	0.000000E+00
6.225000000000E+07	-8.010524E+01	0.000000E+00
