"HP4396A REV3.01"
"DATE: Nov 19 2002"



"CHANNEL: 1"
"MEASURE TYPE: S21"
"FORMAT TYPE: EXPANDED PHASE"
"NUMBER of POINTS: 201"
"SWEEP TIME:  70 ms"
"SWEEP TYPE: LIN FREQ"
"SOURCE POWER:  0 dBm"
"IF BANDWIDTH:  40 kHz"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
3.000000000000E+07	4.021433E+01	0.000000E+00
3.030000000000E+07	3.133772E+01	0.000000E+00
3.060000000000E+07	2.996655E+01	0.000000E+00
3.090000000000E+07	2.076068E+01	0.000000E+00
3.120000000000E+07	9.610967E+00	0.000000E+00
3.150000000000E+07	-8.593886E-02	0.000000E+00
3.180000000000E+07	-9.647734E+00	0.000000E+00
3.210000000000E+07	-2.223467E+01	0.000000E+00
3.240000000000E+07	-3.695855E+01	0.000000E+00
3.270000000000E+07	-5.189497E+01	0.000000E+00
3.300000000000E+07	-6.833173E+01	0.000000E+00
3.330000000000E+07	-8.446736E+01	0.000000E+00
3.360000000000E+07	-9.917395E+01	0.000000E+00
3.390000000000E+07	-1.130552E+02	0.000000E+00
3.420000000000E+07	-1.256092E+02	0.000000E+00
3.450000000000E+07	-1.368823E+02	0.000000E+00
3.480000000000E+07	-1.472485E+02	0.000000E+00
3.510000000000E+07	-1.574496E+02	0.000000E+00
3.540000000000E+07	-1.672641E+02	0.000000E+00
3.570000000000E+07	-1.767740E+02	0.000000E+00
3.600000000000E+07	-1.861938E+02	0.000000E+00
3.630000000000E+07	-1.962086E+02	0.000000E+00
3.660000000000E+07	-2.068303E+02	0.000000E+00
3.690000000000E+07	-2.179253E+02	0.000000E+00
3.720000000000E+07	-2.297692E+02	0.000000E+00
3.750000000000E+07	-2.428159E+02	0.000000E+00
3.780000000000E+07	-2.572883E+02	0.000000E+00
3.810000000000E+07	-2.729844E+02	0.000000E+00
3.840000000000E+07	-2.898676E+02	0.000000E+00
3.870000000000E+07	-3.079276E+02	0.000000E+00
3.900000000000E+07	-3.260420E+02	0.000000E+00
3.930000000000E+07	-3.440737E+02	0.000000E+00
3.960000000000E+07	-3.614015E+02	0.000000E+00
3.990000000000E+07	-3.780172E+02	0.000000E+00
4.020000000000E+07	-3.941134E+02	0.000000E+00
4.050000000000E+07	-4.096789E+02	0.000000E+00
4.080000000000E+07	-4.249589E+02	0.000000E+00
4.110000000000E+07	-4.402014E+02	0.000000E+00
4.140000000000E+07	-4.554499E+02	0.000000E+00
4.170000000000E+07	-4.706606E+02	0.000000E+00
4.200000000000E+07	-4.861293E+02	0.000000E+00
4.230000000000E+07	-5.013546E+02	0.000000E+00
4.260000000000E+07	-5.167330E+02	0.000000E+00
4.290000000000E+07	-5.320754E+02	0.000000E+00
4.320000000000E+07	-5.470288E+02	0.000000E+00
4.350000000000E+07	-5.617935E+02	0.000000E+00
4.380000000000E+07	-5.758363E+02	0.000000E+00
4.410000000000E+07	-5.895590E+02	0.000000E+00
4.440000000000E+07	-6.031570E+02	0.000000E+00
4.470000000000E+07	-6.159540E+02	0.000000E+00
4.500000000000E+07	-6.282310E+02	0.000000E+00
4.530000000000E+07	-6.399423E+02	0.000000E+00
4.560000000000E+07	-6.512529E+02	0.000000E+00
4.590000000000E+07	-6.618648E+02	0.000000E+00
4.620000000000E+07	-6.720677E+02	0.000000E+00
4.650000000000E+07	-6.820577E+02	0.000000E+00
4.680000000000E+07	-6.915574E+02	0.000000E+00
4.710000000000E+07	-7.004705E+02	0.000000E+00
4.740000000000E+07	-7.094920E+02	0.000000E+00
4.770000000000E+07	-7.180046E+02	0.000000E+00
4.800000000000E+07	-7.267713E+02	0.000000E+00
4.830000000000E+07	-7.350371E+02	0.000000E+00
4.860000000000E+07	-7.433456E+02	0.000000E+00
4.890000000000E+07	-7.514417E+02	0.000000E+00
4.920000000000E+07	-7.598272E+02	0.000000E+00
4.950000000000E+07	-7.677450E+02	0.000000E+00
4.980000000000E+07	-7.761430E+02	0.000000E+00
5.010000000000E+07	-7.841489E+02	0.000000E+00
5.040000000000E+07	-7.924547E+02	0.000000E+00
5.070000000000E+07	-8.007692E+02	0.000000E+00
5.100000000000E+07	-8.091725E+02	0.000000E+00
5.130000000000E+07	-8.178429E+02	0.000000E+00
5.160000000000E+07	-8.263296E+02	0.000000E+00
5.190000000000E+07	-8.350695E+02	0.000000E+00
5.220000000000E+07	-8.436069E+02	0.000000E+00
5.250000000000E+07	-8.524937E+02	0.000000E+00
5.280000000000E+07	-8.612768E+02	0.000000E+00
5.310000000000E+07	-8.701721E+02	0.000000E+00
5.340000000000E+07	-8.789656E+02	0.000000E+00
5.370000000000E+07	-8.878796E+02	0.000000E+00
5.400000000000E+07	-8.967359E+02	0.000000E+00
5.430000000000E+07	-9.056555E+02	0.000000E+00
5.460000000000E+07	-9.146416E+02	0.000000E+00
5.490000000000E+07	-9.237679E+02	0.000000E+00
5.520000000000E+07	-9.328714E+02	0.000000E+00
5.550000000000E+07	-9.419041E+02	0.000000E+00
5.580000000000E+07	-9.507814E+02	0.000000E+00
5.610000000000E+07	-9.598488E+02	0.000000E+00
5.640000000000E+07	-9.689264E+02	0.000000E+00
5.670000000000E+07	-9.780446E+02	0.000000E+00
5.700000000000E+07	-9.871423E+02	0.000000E+00
5.730000000000E+07	-9.965010E+02	0.000000E+00
5.760000000000E+07	-1.005507E+03	0.000000E+00
5.790000000000E+07	-1.014715E+03	0.000000E+00
5.820000000000E+07	-1.023836E+03	0.000000E+00
5.850000000000E+07	-1.033142E+03	0.000000E+00
5.880000000000E+07	-1.041954E+03	0.000000E+00
5.910000000000E+07	-1.050535E+03	0.000000E+00
5.940000000000E+07	-1.059206E+03	0.000000E+00
5.970000000000E+07	-1.067723E+03	0.000000E+00
