                   tem002   tem060   tem130   tem200   global   reflex   bilanz
03.03.2006 00:00   -3.321   -1.107   -1.167   -0.452   -2.668    0.093  -36.622
03.03.2006 00:10   -3.345   -1.043   -1.002   -0.194   -2.014    0.163  -29.755
03.03.2006 00:20   -3.295   -1.327   -1.123   -0.232   -2.113    0.089  -32.733
03.03.2006 00:30   -3.249   -1.363   -1.025   -0.127   -2.408    0.077  -34.810
03.03.2006 00:40   -3.299   -0.875   -0.544   -0.183   -2.835   -0.118  -31.178
03.03.2006 00:50   -3.336   -1.117   -0.436   -0.314   -2.290    0.131  -27.402
03.03.2006 01:00   -3.313   -1.170   -0.419   -0.278   -1.589    0.339  -25.304
03.03.2006 01:10   -3.260   -0.936   -0.303   -0.298   -1.648    0.336  -30.555
03.03.2006 01:20   -3.496   -1.056   -0.381   -0.346   -2.656    0.019  -36.417
03.03.2006 01:30   -3.572   -1.315   -0.420   -0.430   -2.587    0.176  -33.505
03.03.2006 01:40   -3.682   -2.225   -0.428   -0.485   -2.398    0.111  -32.349
03.03.2006 01:50   -3.471   -2.608   -0.353   -0.381   -2.346    0.096  -29.687
03.03.2006 02:00   -3.363   -2.458   -0.143   -0.370   -1.689    0.346  -27.139
03.03.2006 02:10   -3.468   -2.321   -0.090   -0.283   -1.246    0.275  -18.669
03.03.2006 02:20   -3.367   -1.695   -0.021   -0.142   -0.730    0.458  -16.899
03.03.2006 02:30   -3.266   -2.009    0.178    0.142   -0.867    0.419  -15.570
03.03.2006 02:40   -3.025   -2.039    0.264    0.242   -0.704    0.411  -14.779
03.03.2006 02:50   -2.985   -1.991    0.276    0.288   -0.775    0.358  -12.324
03.03.2006 03:00   -3.056   -1.754    0.202    0.241   -0.108    0.517   -6.242
03.03.2006 03:10   -2.988   -1.838    0.049    0.184    0.312    0.533   -1.476
03.03.2006 03:20   -2.641   -2.068    0.180   -0.112    0.392    0.527   -2.193
03.03.2006 03:30   -2.666   -2.009   -0.206   -0.524    0.319    0.429   -1.580
03.03.2006 03:40   -2.569   -1.845   -0.568   -0.834    0.258    0.374   -1.545
03.03.2006 03:50   -2.427   -1.515   -0.972   -1.119    0.204    0.345   -1.287
03.03.2006 04:00   -2.299   -1.708   -1.313   -1.264    0.137    0.245   -1.469
03.03.2006 04:10   -2.113   -2.075   -1.643   -1.361    0.037    0.255   -2.453
03.03.2006 04:20   -2.130   -2.371   -1.505   -1.584   -0.020    0.239   -2.628
03.03.2006 04:30   -2.024   -2.390   -1.548   -1.533   -0.084    0.185   -2.609
03.03.2006 04:40   -1.842   -2.351   -1.683   -1.316   -0.115    0.215   -3.662
03.03.2006 04:50   -1.783   -2.269   -1.844   -1.185   -0.351    0.193   -4.568
03.03.2006 05:00   -1.695   -2.113   -1.792   -1.294   -0.358    0.199   -4.741
03.03.2006 05:10   -1.585   -2.069   -1.733   -1.052   -0.411    0.196   -4.237
03.03.2006 05:20   -1.513   -2.092   -1.757   -1.445   -0.261    0.184   -2.695
03.03.2006 05:30   -1.349   -1.840   -1.631   -1.341   -0.274    0.218   -4.194
03.03.2006 05:40   -1.347   -1.693   -1.507   -1.352   -0.325    0.219   -3.679
03.03.2006 05:50   -1.345   -1.693   -1.534   -1.396   -0.251    0.146   -3.257
03.03.2006 06:00   -1.273   -1.635   -1.500   -1.316   -0.325    0.135   -4.732
03.03.2006 06:10   -1.246   -1.453   -1.220   -1.157   -0.722    0.070   -6.822
03.03.2006 06:20   -1.196   -1.381   -1.151   -1.095   -0.665    0.105   -5.590
03.03.2006 06:30   -1.204   -1.459   -1.436   -1.272   -0.261    0.139   -3.744
03.03.2006 06:40   -0.959   -1.358   -1.245   -1.140   -0.149    0.164   -3.238
03.03.2006 06:50   -0.894   -1.224   -1.147   -1.065    0.162    0.277   -4.926
03.03.2006 07:00   -0.826   -1.203   -1.164   -1.079    0.273    0.449   -4.908
03.03.2006 07:10   -0.795   -1.117   -1.112   -0.970    0.297    0.745   -4.429
03.03.2006 07:20   -0.758   -1.074   -1.141   -1.034    0.676    1.320   -3.337
03.03.2006 07:30   -0.695   -1.051   -1.187   -1.100    2.508    3.471   -2.115
03.03.2006 07:40   -0.656   -1.056   -1.216   -1.073    6.196    8.455   -0.191
03.03.2006 07:50   -0.566   -1.076   -1.205   -1.197    8.371   12.036    0.706
03.03.2006 08:00   -0.468   -1.121   -1.293   -1.339   10.377   15.790    0.964
03.03.2006 08:10   -0.420   -1.122   -1.323   -1.358   14.630   22.933    1.866
03.03.2006 08:20   -0.386   -1.070   -1.313   -1.379   16.028   25.606    2.741
03.03.2006 08:30   -0.268   -1.016   -1.317   -1.393   17.042   28.330    3.751
03.03.2006 08:40   -0.133   -0.965   -1.312   -1.369   14.788   26.702    2.574
03.03.2006 08:50   -0.162   -0.897   -1.275   -1.230   16.609   31.060    2.766
03.03.2006 09:00   -0.063   -0.824   -1.224   -0.991   17.427   33.128    2.579
03.03.2006 09:10   -0.011   -0.800   -1.179   -0.851   18.530   36.517    2.972
03.03.2006 09:20    0.004   -0.755   -1.145   -0.760   25.105   54.001    3.670
03.03.2006 09:30    0.064   -0.727   -1.128   -0.540   18.039   41.606    0.061
03.03.2006 09:40    0.134   -0.657   -1.088   -0.414   24.178   56.225    1.379
03.03.2006 09:50    0.165   -0.589   -1.055   -0.377   30.061   71.606    3.324
03.03.2006 10:00    0.228   -0.525   -1.049   -0.624   25.958   64.425    2.876
03.03.2006 10:10    0.253   -0.536   -1.009   -0.717   25.746   67.023    3.638
03.03.2006 10:20    0.300   -0.445   -0.942   -0.729   24.833   68.380    3.214
03.03.2006 10:30    0.374   -0.418   -0.849   -0.700   28.187   84.051    3.896
03.03.2006 10:40    0.404   -0.351   -0.780   -0.639   31.890  102.314    5.940
03.03.2006 10:50    0.470   -0.275   -0.720   -0.593   30.293  100.356    7.039
03.03.2006 11:00    0.500   -0.254   -0.666   -0.502   24.159   83.139    5.286
03.03.2006 11:10    0.556   -0.216   -0.607   -0.384   22.251   78.122    4.980
03.03.2006 11:20    0.590   -0.173   -0.554   -0.180   21.428   76.819    5.691
03.03.2006 11:30    0.602   -0.144   -0.524   -0.143   15.734   60.051    3.064
03.03.2006 11:40    0.597   -0.102   -0.480   -0.163   14.171   56.062    1.200
03.03.2006 11:50    0.574   -0.086   -0.409   -0.136   13.354   55.349   -0.738
03.03.2006 12:00    0.544   -0.053   -0.381   -0.232    8.333   38.296   -2.721
03.03.2006 12:10    0.527   -0.044   -0.349   -0.331    8.768   42.879   -2.376
