                   tem002   tem060   tem130   tem200   global   reflex   bilanz
06.04.2006 14:00    9.947    8.664    7.518    6.931  619.250  127.167  320.799
06.04.2006 14:10   10.363    8.418    7.508    7.077  701.553  141.450  369.281
06.04.2006 14:20   10.126    8.576    7.853    7.353  701.089  145.402  367.867
06.04.2006 14:30    9.947    8.547    7.845    7.280  686.099  141.826  362.894
06.04.2006 14:40   10.797    9.074    8.093    7.433  662.693  137.991  351.507
06.04.2006 14:50   10.701    8.916    8.190    7.507  643.267  134.994  337.388
06.04.2006 15:00   10.591    8.886    8.233    7.512  613.633  130.887  312.004
06.04.2006 15:10   11.160    9.206    8.329    7.656  598.629  128.475  301.944
06.04.2006 15:20   10.466    9.096    8.260    7.729  579.022  124.951  288.674
06.04.2006 15:30   10.639    9.477    8.644    7.871  552.330  121.173  270.128
06.04.2006 15:40   10.510    9.412    8.630    7.973  527.643  117.643  253.389
06.04.2006 15:50   10.365    9.324    8.615    7.960  506.147  114.147  237.562
06.04.2006 16:00   10.687    9.359    8.480    8.011  484.687  111.122  212.419
06.04.2006 16:10   10.758    9.776    9.050    8.247  460.586  106.877  207.723
06.04.2006 16:20   10.731    9.821    9.074    8.405  435.588  102.850  187.433
06.04.2006 16:30   10.710    9.805    8.948    8.195  397.443   95.585  162.737
06.04.2006 16:40   11.073    9.675    8.972    8.031  365.812   89.021  141.513
06.04.2006 16:50   10.481    9.518    8.839    8.068  327.308   81.029  115.703
06.04.2006 17:00   10.710    9.650    8.812    8.209  293.191   64.646  105.802
06.04.2006 17:10   10.390    9.720    8.943    8.328  258.622   32.684   78.964
06.04.2006 17:20   10.563    9.823    9.041    8.440  182.162   16.902   71.017
06.04.2006 17:30   10.261    9.720    8.815    8.378   56.433    7.835  -39.743
06.04.2006 17:40   10.100    9.756    8.869    8.410   48.150    6.370  -33.488
06.04.2006 17:50   10.212    9.672    8.806    8.296   58.675    7.619  -28.065
06.04.2006 18:00    9.964    9.627    8.876    8.282   46.825    8.047  -35.698
06.04.2006 18:10    9.840    9.519    8.769    8.300   30.097    4.546  -42.568
06.04.2006 18:20    9.846    9.408    8.665    8.229   22.105    2.906  -46.846
06.04.2006 18:30    9.710    9.236    8.603    8.192   18.213    2.953  -49.731
06.04.2006 18:40    9.278    9.214    8.650    8.240   17.007    2.958  -47.635
06.04.2006 18:50    7.922    9.127    8.536    8.146   11.862    1.612  -47.317
06.04.2006 19:00    7.452    8.990    8.427    8.049    2.683   -0.564  -50.172
06.04.2006 19:10    7.059    8.962    8.358    7.989   -2.117   -1.140  -51.665
06.04.2006 19:20    6.684    8.956    8.333    7.966   -3.669   -1.190  -51.513
06.04.2006 19:30    6.126    8.888    8.327    7.950   -6.003   -1.928  -51.232
06.04.2006 19:40    5.770    8.774    8.270    7.910   -6.122   -1.906  -50.855
06.04.2006 19:50    5.385    8.582    8.221    7.889   -5.242   -1.444  -50.555
06.04.2006 20:00    5.032    8.748    8.241    7.895   -5.661   -1.473  -51.856
06.04.2006 20:10    4.979    8.634    8.253    7.892   -5.834   -1.309  -52.237
06.04.2006 20:20    4.628    8.522    8.241    7.887   -5.281   -0.869  -52.237
06.04.2006 20:30    4.289    8.436    8.182    7.863   -5.470   -0.905  -52.551
06.04.2006 20:40    4.051    8.064    7.974    7.785   -4.692   -0.512  -52.315
