                   tem002   tem060   tem130   tem200   global   reflex   bilanz
12.05.2006 12:40   24.185   22.483   21.398   21.236  845.900  159.267  500.689
12.05.2006 12:50   24.252   22.877   21.602   21.268  836.755  158.253  494.000
12.05.2006 13:00   24.722   22.896   21.919   21.537  842.237  160.089  498.201
12.05.2006 13:10   24.697   22.842   21.760   21.390  825.865  157.317  483.234
12.05.2006 13:20   24.958   23.016   21.812   21.426  835.907  158.847  485.639
12.05.2006 13:30   25.188   22.958   22.182   21.645  833.910  158.483  479.702
12.05.2006 13:40   24.857   22.916   22.069   21.645  821.606  156.521  466.743
12.05.2006 13:50   25.048   23.474   22.412   21.936  818.342  156.441  462.612
12.05.2006 14:00   25.262   23.418   22.576   21.875  824.159  159.519  463.007
12.05.2006 14:10   25.155   23.915   22.851   22.217  795.005  154.953  442.143
12.05.2006 14:20   25.596   23.959   22.883   22.130  791.684  155.551  437.590
12.05.2006 14:30   25.489   23.949   23.024   22.218  772.536  153.754  421.510
12.05.2006 14:40   25.354   24.133   23.136   22.552  630.968  125.266  326.149
12.05.2006 14:50   25.449   23.890   22.944   22.209  747.769  153.709  408.556
12.05.2006 15:00   25.362   23.954   22.941   22.359  699.958  145.146  375.638
12.05.2006 15:10   25.093   23.830   22.927   22.391  502.183  103.610  245.945
12.05.2006 15:20   24.745   23.509   22.729   22.174  485.858  102.226  241.648
12.05.2006 15:30   24.883   23.681   22.790   22.248  519.326  111.091  269.682
12.05.2006 15:40   25.081   23.715   22.882   22.229  479.054  103.234  242.858
12.05.2006 15:50   25.382   23.784   22.984   22.527  641.481  142.551  339.318
12.05.2006 16:00   25.353   24.280   23.416   22.779  607.015  137.053  307.860
12.05.2006 16:10   25.521   24.189   23.368   22.736  467.964  105.895  216.673
12.05.2006 16:20   24.362   23.532   22.760   22.305  189.563   37.238   49.019
12.05.2006 16:30   24.258   23.517   22.768   22.235  239.105   48.097   94.360
12.05.2006 16:40   24.635   23.766   23.015   22.504  374.408   85.816  168.539
12.05.2006 16:50   24.644   23.926   23.132   22.517  341.710   77.639  142.680
12.05.2006 17:00   25.268   24.073   23.188   22.618  459.911  112.491  203.164
12.05.2006 17:10   24.870   24.005   23.201   22.683  337.250   82.435  125.619
12.05.2006 17:20   24.836   23.887   23.014   22.514  346.083   86.642  129.948
12.05.2006 17:30   24.416   23.837   23.083   22.575  209.264   45.741   58.763
12.05.2006 17:40   23.675   23.413   22.637   22.145  113.862   20.415   21.925
12.05.2006 17:50   24.020   23.507   22.769   22.159  142.173   32.832   48.315
12.05.2006 18:00   24.248   23.889   23.115   22.518  125.384   26.456   23.082
12.05.2006 18:10   23.876   23.748   23.128   22.436   96.014   15.358   -6.640
12.05.2006 18:20   23.504   23.541   22.933   22.307   61.319    9.205  -20.032
12.05.2006 18:30   22.890   23.466   22.842   22.283   52.312    7.509  -22.660
12.05.2006 18:40   21.927   23.276   22.701   22.225   48.838    6.600  -19.788
12.05.2006 18:50   21.249   23.198   22.612   22.114   46.076    6.916  -19.680
12.05.2006 19:00   20.894   23.037   22.465   22.096   40.319    5.976  -21.536
12.05.2006 19:10   20.106   22.889   22.235   21.944   29.136    3.524  -26.204
12.05.2006 19:20   19.524   22.731   22.094   21.810   19.808    1.794  -29.542
12.05.2006 19:30   18.964   22.564   21.977   21.736   12.718    0.647  -31.758
12.05.2006 19:40   18.397   22.523   21.996   21.763    6.835   -0.393  -32.986
12.05.2006 19:50   18.126   22.366   21.948   21.861    0.635   -1.676  -34.234
12.05.2006 20:00   17.590   22.354   21.977   21.828   -3.496   -2.522  -34.983
12.05.2006 20:10   17.056   22.362   21.900   21.729   -4.650   -2.589  -33.740
12.05.2006 20:20   16.751   22.210   21.769   21.508   -4.868   -2.407  -31.737
12.05.2006 20:30   16.698   22.008   21.631   21.408   -4.521   -2.090  -24.830
12.05.2006 20:40   16.665   21.779   21.618   21.450   -2.953   -1.485  -16.249
12.05.2006 20:50   16.728   21.410   21.570   21.470   -2.202   -0.826  -19.531
12.05.2006 21:00   16.781   21.250   21.286   21.333   -1.826   -0.368  -19.796
12.05.2006 21:10   16.654   20.887   20.983   21.009   -1.841   -0.295  -19.150
12.05.2006 21:20   16.695   20.439   20.679   20.720   -0.846   -0.122   -6.514
12.05.2006 21:30   16.714   20.173   20.441   20.605   -0.688    0.177  -19.521
12.05.2006 21:40   16.589   20.092   20.295   20.365   -2.277   -0.122  -29.841
12.05.2006 21:50   17.571   20.431   20.257   20.061   -1.805    0.278  -28.225
12.05.2006 22:00   17.532   20.339   20.033   19.800   -1.041    0.950  -27.858
12.05.2006 22:10   17.634   20.232   19.826   19.562   -1.850   -0.045  -24.997
12.05.2006 22:20   17.567   19.946   19.598   19.356   -1.147    0.496  -20.740
12.05.2006 22:30   17.821   19.710   19.338   19.151   -0.595    0.132   -8.257
12.05.2006 22:40   18.345   19.591   19.153   18.961    0.248    0.853  -13.506
12.05.2006 22:50   18.534   19.529   19.041   18.763   -0.674    0.650  -22.882
12.05.2006 23:00   19.098   19.318   18.705   18.326   -0.890    0.715  -27.963
12.05.2006 23:10   19.048   18.895   18.286   17.942   -1.085    0.946  -33.682
12.05.2006 23:20   18.973   18.719   18.101   17.768   -1.494    0.541  -32.223
12.05.2006 23:30   18.868   18.546   17.894   17.531   -1.651    0.233  -29.456
12.05.2006 23:40   18.684   18.332   17.690   17.303   -1.804   -0.080  -25.562
12.05.2006 23:50   18.508   18.083   17.482   17.044   -1.501   -0.049  -22.802
13.05.2006 00:00   18.368   17.924   17.309   16.900   -1.464   -0.084  -22.566
13.05.2006 00:10   18.279   17.764   17.141   16.745   -1.630   -0.123  -24.290
13.05.2006 00:20   18.088   17.634   16.981   16.612   -1.686   -0.169  -24.066
13.05.2006 00:30   17.947   17.536   16.878   16.533   -1.928   -0.316  -25.270
13.05.2006 00:40   17.832   17.360   16.713   16.301   -1.874   -0.282  -24.471
13.05.2006 00:50   17.570   16.993   16.335   15.918   -1.714   -0.254  -22.375
13.05.2006 01:00   17.281   16.688   15.996   15.595   -1.603   -0.382  -18.802
13.05.2006 01:10   17.002   16.330   15.633   15.296   -1.917   -0.450  -22.789
13.05.2006 01:20   16.680   16.052   15.390   15.064   -2.155   -0.653  -21.245
13.05.2006 01:30   16.373   15.724   15.005   14.632   -1.895   -0.479  -20.401
13.05.2006 01:40   15.869   15.143   14.388   14.082   -3.663   -0.523  -20.411
13.05.2006 01:50   14.902   14.438   13.859   13.571   -6.230   -0.849  -20.567
13.05.2006 02:00   14.486   13.984   13.434   13.174   -5.082   -0.628  -17.389
13.05.2006 02:10   14.128   13.604   13.060   12.814   -3.969   -0.424  -14.194
13.05.2006 02:20   13.720   13.246   12.695   12.410   -3.024   -0.457  -12.204
13.05.2006 02:30   13.455   12.970   12.472   12.192   -2.242   -0.260  -10.126
13.05.2006 02:40   13.275   12.790   12.294   12.051   -1.772   -0.018  -10.532
13.05.2006 02:50   13.211   12.731   12.205   12.015   -1.421    0.072   -8.559
13.05.2006 03:00   13.224   12.747   12.331   12.393   -1.079    0.144   -9.089
13.05.2006 03:10   13.209   12.869   12.552   12.483   -0.947    0.235   -9.669
13.05.2006 03:20   13.198   12.972   12.577   12.414   -0.784    0.197   -8.175
13.05.2006 03:30   13.256   12.926   12.470   12.252   -0.576    0.270   -7.868
13.05.2006 03:40   13.263   12.841   12.297   12.066   -0.541    0.439   -8.148
13.05.2006 03:50   13.232   12.701   12.223   12.032   -0.546    0.542   -7.313
13.05.2006 04:00   13.209   12.677   12.205   11.990   -0.521    0.478   -6.977
13.05.2006 04:10   13.248   12.684   12.172   11.957   -0.524    0.539   -7.560
13.05.2006 04:20   13.208   12.625   12.128   11.907   -0.527    0.559   -7.589
13.05.2006 04:30   13.193   12.636   12.151   11.947   -0.501    0.542   -7.892
13.05.2006 04:40   13.168   12.620   12.130   11.931   -0.297    0.556   -7.253
13.05.2006 04:50   13.202   12.659   12.153   11.961    0.072    0.632   -7.031
13.05.2006 05:00   13.239   12.673   12.164   11.949    0.707    0.771   -6.636
13.05.2006 05:10   13.242   12.680   12.157   11.953    2.171    1.019   -5.822
13.05.2006 05:20   13.222   12.703   12.171   11.980    4.509    1.553   -4.538
13.05.2006 05:30   13.284   12.747   12.198   11.970    9.917    2.709   -1.315
13.05.2006 05:40   13.339   12.776   12.228   12.041   21.047    4.887    2.693
13.05.2006 05:50   13.335   12.814   12.276   12.076   12.688    2.990   -1.392
13.05.2006 06:00   13.391   12.846   12.299   12.107   25.220    4.907    2.722
13.05.2006 06:10   13.451   12.877   12.334   12.153   28.399    5.618    6.904
13.05.2006 06:20   13.420   12.856   12.314   12.138   15.872    3.267    1.251
13.05.2006 06:30   13.446   12.841   12.284   12.081   22.262    4.654    5.841
13.05.2006 06:40   13.400   12.731   12.192   11.948   17.872    3.831    4.275
13.05.2006 06:50   13.298   12.635   12.149   12.029   33.899    6.729   13.269
13.05.2006 07:00   13.353   12.689   12.211   12.071   52.186   10.249   21.996
13.05.2006 07:10   13.475   12.788   12.279   12.147   70.635   13.757   31.386
13.05.2006 07:20   13.730   12.956   12.390   12.253  147.747   27.583   77.355
13.05.2006 07:30   13.994   13.143   12.518   12.339  156.356   29.039   81.022
13.05.2006 07:40   14.313   13.340   12.657   12.449  200.178   37.263  108.062
13.05.2006 07:50   14.560   13.512   12.797   12.597  207.051   39.317  113.871
13.05.2006 08:00   14.727   13.639   12.921   12.672  207.980   39.191  117.317
13.05.2006 08:10   14.986   13.869   13.126   12.916  270.584   50.111  161.148
13.05.2006 08:20   15.079   14.009   13.261   13.028  190.812   34.897  103.720
13.05.2006 08:30   15.669   14.500   13.637   13.469  414.660   80.596  252.866
13.05.2006 08:40   16.225   14.936   14.050   13.821  395.153   79.743  256.120
13.05.2006 08:50   15.772   14.812   14.191   13.822  104.181   20.225   47.542
13.05.2006 09:00   15.594   14.817   14.180   13.843  126.186   23.788   61.637
13.05.2006 09:10   15.987   15.187   14.498   14.135  274.720   51.715  157.084
13.05.2006 09:20   16.354   15.524   14.747   14.352  175.081   33.813   93.197
13.05.2006 09:30   16.434   15.672   14.881   14.465  260.319   48.269  144.040
13.05.2006 09:40   16.701   15.788   14.947   14.511  239.110   44.413  131.276
13.05.2006 09:50   16.793   15.830   14.940   14.542  285.322   52.026  156.145
13.05.2006 10:00   17.017   15.977   15.112   14.706  387.227   73.075  222.307
13.05.2006 10:10   17.436   16.175   15.328   14.977  365.559   71.597  219.421
13.05.2006 10:20   16.789   16.073   15.318   14.926  100.049   18.865   44.659
13.05.2006 10:30   16.712   16.090   15.322   14.935  127.608   24.193   61.993
13.05.2006 10:40   17.413   16.561   15.738   15.278  282.956   54.933  164.061
13.05.2006 10:50   17.515   16.727   15.942   15.485  205.281   39.910  110.642
13.05.2006 11:00   17.830   17.022   16.240   15.753  241.575   46.443  135.989
13.05.2006 11:10   18.084   17.230   16.488   15.975  264.872   51.126  148.089
13.05.2006 11:20   18.565   17.506   16.722   16.118  402.408   75.319  239.122
13.05.2006 11:30   18.227   17.379   16.617   16.025  222.336   41.730  122.284
13.05.2006 11:40   18.262   17.440   16.642   16.102  279.605   51.938  160.495
13.05.2006 11:50   18.298   17.547   16.705   16.197  163.256   31.021   85.057
