01.595 -0.105 3C2  J0034-0534,J2346-0609,J0030+0451
04.294 79.678 3C6.1  J0007+7303
05.105 15.661 3C9  J0006+1834
06.401 64.122 3C10  B2319+60,B2351+61,B2324+60,B2334+61,B0105+65,B0059+65,B2323+63,B0114+58,B0037+56,B0105+68,J0026+6320
07.485 63.676 3C11.1  B2319+60,B2351+61,B2324+60,B2334+61,B0105+65,B0059+65,B2323+63,B0114+58,B0037+56,B0105+68,J0146+6145,J0026+6320
08.569 39.325 3C13  B0045+33
09.032 18.620 3C14  J0006+1834
09.113 59.775 3C14.1  B0138+59,B0136+57,B2351+61,B2324+60,B2334+61,B0105+65,B0059+65,B0114+58,B0037+56,B0052+51,J0146+6145,J0026+6320
09.277 -1.242 3C15  B0031-07,J0034-0534,J0030+0451,J0051+0423
09.426 13.108 3C16  J0030+0451
09.606 -1.992 3C17  B0031-07,J0034-0534,J0030+0451,J0051+0423
10.230 33.174 3C19  B0045+33
10.212 10.174 3C18  J0030+0451,J0051+0423
10.788 52.040 3C20  B0011+47,B0114+58,B0037+56,B0052+51,B0053+47
11.397 68.073 3C21.1  B2351+61,B0105+65,B0059+65,B0105+68,J0205+6449,J0146+6145,J0026+6320,J0007+7303
12.740 51.217 3C22  B0011+47,B0114+58,B0037+56,B0052+51,B0053+47
13.980 68.487 3C27  B0105+65,B0059+65,B0154+61,B0105+68,B0226+70,J0205+6449,J0146+6145,J0026+6320,J0007+7303
13.962 26.402 3C28  B0045+33
14.401 -1.313 3C29  B0031-07,J0034-0534,J0051+0423
16.866 32.392 3C31  B0045+33
17.217 13.338 3C33  J0137+1654
17.508 73.166 3C33.1  B0105+65,B0059+65,B0105+68,B0226+70,J0007+7303
17.582 69.366 3C33.2  B0105+65,B0059+65,B0154+61,B0105+68,B0226+70,J0205+6449,J0146+6145,J0026+6320,J0007+7303
17.576 31.768 3C34  B0045+33
18.018 49.437 3C35  B0052+51,B0053+47
19.542 45.646 3C36  B0052+51,B0053+47
21.534 -1.274 3C40  B0148-06
21.687 33.194 3C41  B0153+39,B0045+33
22.130 29.058 3C42  NONE
22.500 23.684 3C43  J0137+1654
22.846 06.429 3C44  J0152+0948
23.885 37.939 3C46  B0153+39
24.104 20.948 3C47  J0137+1654
24.419 33.134 3C48  B0153+39
25.303 14.052 3C49  J0137+1654,J0152+0948
27.136 53.605 3C52  B0138+59,B0136+57,B0114+58,B0144+59,B0154+61,B0052+51,J0146+6145
28.883 43.790 3C54  J0218+4232,B0153+39
29.299 28.849 3C55  NONE
31.365 64.872 3C58  B0138+59,B0136+57,B0105+65,B0059+65,B0114+58,B0144+59,B0154+61,B0105+68,B0226+70,J0248+60,J0215+6218,J0205+6449,J0146+6145
35.957 86.223 3C61.1  B0643+80
35.220 -2.005 3C63  B0148-06
35.834 43.057 3C66  J0218+4232,B0153+39
35.934 40.020 3C65  J0218+4232,B0153+39
36.052 27.839 3C67  NONE
38.129 34.720 3C68.1  J0218+4232,B0153+39
38.597 31.552 3C68.2  NONE
39.517 59.199 3C69  B0329+54,B0138+59,B0136+57,B0144+59,B0154+61,J0248+60,J0215+6218,J0205+6449,J0146+6145
40.665 -0.204 3C71  NONE
44.423 06.065 3C75  NONE
45.815 16.445 3C76.1  B0301+19,J0329+1654
47.110 04.146 3C78  NONE
47.496 17.103 3C79  B0301+19,J0329+1654
49.559 41.914 3C83.1  B0320+39,B0331+45
49.948 41.519 3C84  B0320+39,B0331+45
51.834 55.314 3C86  B0329+54,B0355+54,B0402+61,B0353+52,B0339+53,J0248+60
51.979 02.586 3C88  NONE
53.578 -1.067 3C89  NONE
54.432 50.750 3C91  B0329+54,B0355+54,B0353+52,B0331+45,B0339+53
55.880 04.951 3C93  NONE
57.197 33.891 3C93.1  B0320+39,J0417+35,J0357+32
59.728 10.420 3C98  J0407+1607
60.267 00.423 3C99  J0421-0345
62.014 42.992 3C103  B0320+39,B0331+45,J0417+35
61.852 03.701 3C105  J0421-0345
63.116 -0.889 3C107  J0421-0345
63.419 11.376 3C109  J0407+1607
64.593 38.011 3C111  J0417+35,J0357+32
65.095 17.902 3C114  J0407+1607
68.155 41.654 3C119  B0458+46,J0417+35
69.271 29.672 3C123  J0435+27,J0417+35,J0357+32
70.498 01.728 3C124  J0459-0210,J0421-0345
71.567 39.707 3C125  B0458+46,J0417+35
72.258 45.032 3C129  B0458+46
72.579 44.885 3C129.1  B0458+46
73.187 51.849 3C130  B0450+55,B0355+54,B0353+52,B0458+46
73.344 31.463 3C131  J0435+27,J0417+35
74.181 22.808 3C132  B0531+21,B0525+21,J0435+27
75.745 25.274 3C133  B0531+21,B0525+21,J0538+2817,J0435+27
76.176 38.089 3C134  B0458+46
78.576 01.257 3C135  J0459-0210,J0533+0402
78.992 24.955 3C136.1  B0531+21,B0525+21,B0540+23,J0538+2817,J0546+2441,J0540+32
79.886 50.928 3C137  B0450+55,B0458+46
80.289 16.632 3C138  B0531+21,B0525+21,B0540+23,B0523+11
80.663 34.047 3C139.1  J0538+2817,J0540+32
